,0,1,2,3,4,5,6,7,8,9,10,11,12
0,'57 Chevy with a White License Plate,14029,Creme de Cacao,Vodka,,,,,,,,,
1,1-900-FUK-MEUP,15395,Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,,
2,110 in the shade,15423,Lager,Tequila,,,,,,,,,
3,151 Florida Bushwacker,14588,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,
4,155 Belmont,15346,Dark rum,Light rum,Vodka,Orange juice,,,,,,,
5,24k nightmare,17060,Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,
6,252,15288,151 proof rum,Wild Turkey,,,,,,,,,
7,3 Wise Men,13899,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,
8,3-Mile Long Island Iced Tea,15300,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,
9,410 Gone,13581,Peach Vodka,Coca-Cola,,,,,,,,,
10,50/50,14598,Vanilla vodka,Grand Marnier,Orange juice,Vanilla vodka,Grand Marnier,Orange juice,,,,,
11,Zorro,15328,Sambuca,Baileys irish cream,White Creme de Menthe,,,,,,,,
12,69 Special,13940,Gin,7-Up,Lemon juice,,,,,,,,
13,747,14229,Kahlua,Baileys irish cream,Frangelico,,,,,,,,
14,747 Drink,178318,Vodka,Roses sweetened lime juice,Cranberry Juice,Sprite,,,,,,,
15,9 1/2 Weeks,16108,Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,,
16,A Day at the Beach,15200,Coconut rum,Amaretto,Orange juice,Grenadine,,,,,,,
17,A Furlong Too Late,17831,Light rum,Ginger beer,Lemon peel,,,,,,,,
18,A Gilligan's Island,16943,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,
19,A midsummernight dream,15675,Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,,
20,A Night In Old Mandalay,17832,Light rum,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,,
21,A Piece of Ass,16405,Amaretto,Southern Comfort,Ice,Sour mix,,,,,,,
22,A Splash of Nash,14564,Cranberry juice,Soda water,Midori melon liqueur,Creme de Banane,,,,,,,
23,A True Amaretto Sour,17005,Amaretto,Lemon,Ice,Maraschino cherry,,,,,,,
24,A. J.,17833,Applejack,Grapefruit juice,,,,,,,,,
25,A.D.M. (After Dinner Mint),14560,White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,,
26,A1,17222,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,
27,Abbey Cocktail,17834,Gin,Orange bitters,Orange,Cherry,,,,,,,
28,Abbey Martini,17223,Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,,
29,ABC,13501,Amaretto,Baileys irish cream,Cognac,,,,,,,,
30,Abilene,17835,Dark rum,Peach nectar,Orange juice,,,,,,,,
31,Absinthe #2,12790,Vodka,Sugar,Anise,Licorice root,Wormwood,,,,,,
32,Absolut Evergreen,14374,Absolut Citron,Pisang Ambon,Ice,Bitter lemon,,,,,,,
33,Absolut limousine,14372,Absolut Citron,Lime juice,Ice,Tonic water,,,,,,,
34,Absolut Sex,14360,Absolut Kurant,Midori melon liqueur,Cranberry juice,Sprite,,,,,,,
35,Absolut Stress #2,15597,Absolut Vodka,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,,,,,,
36,Absolut Summertime,14107,Absolut Citron,Sweet and sour,Sprite,Soda water,Lemon,,,,,,
37,Absolutely Cranberry Smash,15024,Absolut Vodka,Cranberry juice,Ginger ale,Ice,,,,,,,
38,Absolutely Fabulous,17224,Vodka,Cranberry Juice,Champagne,,,,,,,,
39,Absolutly Screwed Up,16134,Absolut Citron,Orange juice,Triple sec,Ginger ale,,,,,,,
40,Acapulco,17836,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,
41,Ace,17225,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,
42,ACID,14610,151 proof rum,Wild Turkey,,,,,,,,,
43,Adam,17837,Dark rum,Lemon juice,Grenadine,,,,,,,,
44,Adam & Eve,17226,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,,
45,Adam Bomb,16333,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,
46,Adam Sunrise,15567,Vodka,Lemonade,Water,Sugar,,,,,,,
47,Addington,17227,Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,,
48,Addison,17228,Gin,Vermouth,,,,,,,,,
49,Addison Special,14272,Vodka,Grenadine,Orange juice,,,,,,,,
50,Adios Amigos Cocktail,17229,Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,,
51,Adonis Cocktail,17838,Sweet Vermouth,Sherry,Orange bitters,,,,,,,,
52,Affair,17839,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,
53,Affinity,17840,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,
54,After Dinner Cocktail,11010,Apricot brandy,Triple sec,Lime,Lime,,,,,,,
55,After Five,13807,Peppermint schnapps,Kahlua,Baileys irish cream,,,,,,,,
56,After sex,15182,Vodka,Creme de Banane,Orange juice,,,,,,,,
57,After Supper Cocktail,11011,Triple sec,Apricot brandy,Lemon juice,,,,,,,,
58,Afternoon,13162,Kahlua,Baileys irish cream,Frangelico,Coffee,Cream,,,,,,
59,Alabama Slammer,11012,Southern Comfort,Amaretto,Sloe gin,Lemon juice,,,,,,,
60,Alaska Cocktail,11013,Orange bitters,Gin,Yellow Chartreuse,Lemon peel,,,,,,,
61,Alexander,11014,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,
62,Alfie Cocktail,11019,Lemon vodka,Triple sec,Pineapple juice,,,,,,,,
63,Algonquin,11020,Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,,
64,Alice in Wonderland,17094,Amaretto,Grand Marnier,Southern Comfort,,,,,,,,
65,Allegheny,11021,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,
66,Allies Cocktail,11022,Dry Vermouth,Gin,Kummel,,,,,,,,
67,Almeria,11023,Dark rum,Kahlua,Egg white,,,,,,,,
68,Almond Chocolate Coffee,16082,Amaretto,Dark Creme de Cacao,Coffee,,,,,,,,
69,Almond Joy,11024,Amaretto,Creme de Cacao,Light cream,,,,,,,,
70,Amaretto And Cream,11025,Amaretto,Light cream,,,,,,,,,
71,Amaretto fizz,178321,Amaretto,Orange Juice,White Wine,Orange Peel,,,,,,,
72,Amaretto Liqueur,12792,Sugar,Water,Apricot,Almond flavoring,Grain alcohol,Water,Brandy,Food coloring,Food coloring,Food coloring,Glycerine
73,Amaretto Mist,11026,Amaretto,Lime,,,,,,,,,
74,Amaretto Rose,11027,Amaretto,Lime juice,Club soda,,,,,,,,
75,Amaretto Shake,15194,Chocolate ice-cream,Brandy,Amaretto,,,,,,,,
76,Amaretto Sour,13731,Amaretto,Sour mix,,,,,,,,,
77,Amaretto Stinger,11028,Amaretto,White Creme de Menthe,,,,,,,,,
78,Amaretto Stone Sour,14306,Amaretto,Sour mix,Orange juice,,,,,,,,
79,Amaretto Stone Sour #3,16100,Sour mix,Amaretto,Tequila,Orange juice,,,,,,,
80,Amaretto Sunrise,14578,Amaretto,Orange juice,Grenadine,,,,,,,,
81,Amaretto Sunset,17168,Triple sec,Amaretto,Cider,Ice,,,,,,,
82,Amaretto Sweet & Sour,16202,Amaretto,Sweet and sour,Midori melon liqueur,Pineapple juice,,,,,,,
83,Amaretto Tea,11029,Tea,Amaretto,Whipped cream,,,,,,,,
84,Americano,15941,Campari,Sweet Vermouth,Lemon peel,Orange peel,,,,,,,
85,Angel Face,11034,Apricot brandy,Apple brandy,Gin,,,,,,,,
86,Angelica Liqueur,12794,Angelica root,Almond,Allspice,Cinnamon,Anise,Coriander,Marjoram leaves,Vodka,Sugar,Water,Food coloring
87,Aperol Spritz,178325,Aperol,Prosecco,Soda Water,,,,,,,,
88,Apple Grande,16289,Tequila,Apple cider,,,,,,,,,
89,Apple Pie with A Crust,16958,Apple juice,Malibu rum,Cinnamon,,,,,,,,
90,Apple Slammer,13683,7-Up,Apple schnapps,,,,,,,,,
91,Applecar,11046,Applejack,Triple sec,Lemon juice,,,,,,,,
92,Applejack,16311,Jack Daniels,Midori melon liqueur,Sour mix,,,,,,,,
93,Apricot Lady,11050,Light rum,Apricot brandy,Triple sec,Lemon juice,Egg white,Orange,,,,,
94,Apricot punch,15849,Apricot brandy,Champagne,Vodka,7-Up,Orange juice,,,,,,
95,Aquamarine,178319,Hpnotiq,Pineapple Juice,Banana Liqueur,,,,,,,,
96,Archbishop,11052,Gin,Wine,Benedictine,Lime,,,,,,,
97,Arctic Fish,14622,Vodka,Grape soda,Orange juice,Ice,Candy,,,,,,
98,Arctic Mouthwash,17118,Maui,Mountain Dew,Ice,,,,,,,,
99,Arise My Love,11053,Champagne,Green Creme de Menthe,,,,,,,,,
100,Arizona Antifreeze,16354,Vodka,Midori melon liqueur,Sweet and sour,,,,,,,,
101,Arizona Stingers,14584,Absolut Vodka,Iced tea,,,,,,,,,
102,Arizona Twister,17074,Vodka,Malibu rum,Gold tequila,Orange juice,Pineapple juice,Cream of coconut,Grenadine,Ice,Pineapple,,
103,Army special,17066,Vodka,Gin,Lime juice cordial,Ice,,,,,,,
104,Arthur Tompkins,11054,Gin,Grand Marnier,Lemon juice,Lemon peel,,,,,,,
105,Artillery,11055,Sweet Vermouth,Gin,Bitters,,,,,,,,
106,Artillery Punch,12870,Tea,Rye whiskey,Red wine,Rum,Brandy,Benedictine,Orange juice,Lemon juice,,,
107,AT&T,13938,Absolut Vodka,Gin,Tonic water,,,,,,,,
108,Atlantic Sun,13423,Vodka,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,,,,,,
109,Atomic Lokade,13086,Lemonade,Vodka,Blue Curacao,Triple sec,Sugar,Ice,,,,,
110,Auburn Headbanger,17020,Jägermeister,Goldschlager,,,,,,,,,
111,Autodafé,12756,Vodka,Lime juice,Soda water,,,,,,,,
112,Avalanche,16419,Crown Royal,Kahlua,Cream,,,,,,,,
113,Avalon,15266,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,
114,Aviation,17180,Gin,lemon juice,maraschino liqueur,,,,,,,,
115,Aztec Punch,14364,Lemonade,Vodka,Rum,Ginger ale,,,,,,,
116,B-52,15853,Baileys irish cream,Grand Marnier,Kahlua,,,,,,,,
117,B-53,13332,Kahlua,Sambuca,Grand Marnier,,,,,,,,
118,Baby Eskimo,15511,Kahlua,Milk,Vanilla ice-cream,,,,,,,,
119,Baby Guinness,17079,Kahlua,Baileys irish cream,,,,,,,,,
120,Bacardi Cocktail,17183,Light rum,Lime juice,Sugar syrup,Grenadine,,,,,,,
121,Bahama Mama,17267,Rum,Dark Rum,Banana liqueur,Grenadine,Pineapple Juice,Orange Juice,Sweet and Sour,,,,
122,Bailey's Dream Shake,14510,Baileys irish cream,Vanilla ice-cream,Cream,,,,,,,,
123,Balmoral,11060,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,,
124,Banana Cream Pi,178320,Malibu Rum,Banana Liqueur,Pineapple Juice,,,,,,,,
125,Banana Daiquiri,11064,Light rum,Triple sec,Banana,Lime juice,Sugar,Cherry,,,,,
126,Barracuda,17209,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,,
127,Bee's Knees,178317,Gold rum,Orange Juice,Lime Juice,Triple Sec,,,,,,,
128,Belgian Blue,14071,Vodka,Coconut liqueur,Blue Curacao,Sprite,,,,,,,
129,Bellini,17195,Champagne,Peach schnapps,,,,,,,,,
130,Bellini Martini,16176,Ice,Vodka,Peach nectar,Peach schnapps,Lemon peel,,,,,,
131,Bermuda Highball,11084,Brandy,Gin,Dry Vermouth,Carbonated water,Lemon peel,,,,,,
132,Berry Deadly,12876,Everclear,Wine,Orange juice,Kool-Aid,,,,,,,
133,Between The Sheets,17184,Brandy,Light rum,Triple sec,Lemon juice,,,,,,,
134,Bible Belt,16986,Southern Comfort,Triple sec,Lime,Sour mix,,,,,,,
135,Big Red,13222,Irish cream,Goldschlager,,,,,,,,,
136,Bijou,17254,Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,,,,,
137,Black & Tan,13282,Ale,Guinness stout,,,,,,,,,
138,Black and Brown,16403,Guinness stout,Root beer,,,,,,,,,
139,Black Forest Shake,15951,Ice,Chocolate syrup,Cherry brandy,Vodka,Milk,,,,,,
140,Black Russian,11102,Coffee liqueur,Vodka,,,,,,,,,
141,Blackthorn,11106,Sweet Vermouth,Sloe gin,Lemon peel,,,,,,,,
142,Bleeding Surgeon,16295,Dark rum,Orange,Surge,Cranberry juice,,,,,,,
143,Blind Russian,14356,Baileys irish cream,Godiva liqueur,Kahlua,Butterscotch schnapps,Milk,,,,,,
144,Bloody Maria,11112,Tequila,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,,,
145,Bloody Mary,11113,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,,
146,Bloody Punch,178312,Vodka,Strawberries,Lime Juice,Lemon-lime soda,Lemon-lime soda,Raisins,Blueberries,,,,
147,Blue Hurricane,17268,Rum,Dark Rum,Passoa,Blue Curacao,Sweet and Sour,Ice,,,,,
148,Blue Lagoon,11117,Vodka,Blue Curacao,Lemonade,Cherry,,,,,,,
149,Blue Margarita,11118,Tequila,Blue Curacao,Lime juice,Salt,,,,,,,
150,Blue Mountain,11119,Añejo rum,Tia maria,Vodka,Orange juice,Lemon juice,,,,,,
151,Blueberry Mojito,178336,Dark Rum,Lime Juice,Sugar,Blueberries,Lemon-lime soda,,,,,,
152,Bluebird,11120,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,,
153,Bob Marley,13395,Midori melon liqueur,Jägermeister,Goldschlager,,,,,,,,
154,Bobby Burns Cocktail,11121,Sweet Vermouth,Scotch,Benedictine,Lemon peel,,,,,,,
155,Bombay Cassis,17242,Gin,Creme de Cassis,Fresh Lime Juice,Ginger beer,Lime,Ginger,,,,,
156,Boomerang,11124,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,,
157,Boozy Snickers Milkshake,17221,Vanilla Ice-Cream,Milk,Godiva liqueur,Whipped Cream,caramel sauce,chocolate sauce,Mini-snickers bars,,,,
158,Boston Sidecar,11128,Light rum,Brandy,Triple sec,Lime,,,,,,,
159,Boston Sour,11129,Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,,,
160,Boulevardier,17251,Campari,Sweet Vermouth,Rye whiskey,Orange Peel,,,,,,,
161,Bounty Hunter,178331,Rum,Coconut Liqueur,Blueberries,Pineapple Juice,Prosecco,,,,,,
162,Bourbon Sling,11146,Sugar,Water,Lemon juice,Bourbon,Lemon peel,,,,,,
163,Bourbon Sour,11147,Bourbon,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,
164,Boxcar,11149,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,
165,Brain Fart,17120,Everclear,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,,,
166,Brainteaser,13405,Sambuca,Erin Cream,Advocaat,,,,,,,,
167,Bramble,17210,Gin,lemon juice,Sugar syrup,Creme de Mure,,,,,,,
168,Brandon and Will's Coke Float,16447,Vanilla ice-cream,Coca-Cola,Bourbon,,,,,,,,
169,Brandy Alexander,11016,Brandy,Creme de Cacao,Light cream,Nutmeg,,,,,,,
170,Brandy Cobbler,11157,Sugar,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,,,
171,Brandy Flip,11164,Brandy,Egg,Sugar,Light cream,Nutmeg,,,,,,
172,Brandy Sour,11170,Brandy,Lemon,Powdered sugar,Lemon,Cherry,,,,,,
173,Brave Bull Shooter,13068,Tequila,Tabasco sauce,,,,,,,,,
174,Brigadier,17825,Hot Chocolate,Green Chartreuse,Cherry Heering,,,,,,,,
175,Broadside,178311,151 proof rum,Scotch,Bitters,Wormwood,Ice,,,,,,
176,Brooklyn,178310,Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry,,,,,,
177,Bruce's Puce,13066,Grenadine,Kahlua,Baileys irish cream,,,,,,,,
178,Bruised Heart,16998,Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,,,
179,Bubble Gum,14730,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,,,,,
180,Buccaneer,17035,Corona,Bacardi Limon,,,,,,,,,
181,Bumble Bee #1,14538,Baileys irish cream,Kahlua,Sambuca,,,,,,,,
182,Butter Baby,17220,Vanilla Ice-Cream,Butterscotch schnapps,Milk,Vodka,,,,,,,
183,Cafe Savoy,14181,Coffee,Milk,Triple sec,Brandy,,,,,,,
184,Caipirinha,11202,Sugar,Lime,Cachaca,,,,,,,,
185,Caipirissima,13206,Lime,Sugar,White rum,Ice,,,,,,,
186,California Lemonade,11205,Blended whiskey,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,,,
187,California Root Beer,14282,Kahlua,Galliano,Soda water,,,,,,,,
188,Campari Beer,16047,Lager,Campari,,,,,,,,,
189,Captain Kidd's Punch,178329,Rum,Lime Juice,Egg White,Bitters,Sugar,Nutmeg,,,,,
190,Caribbean Boilermaker,17065,Corona,Light rum,,,,,,,,,
191,Caribbean Orange Liqueur,12796,Orange,Vodka,Sugar,,,,,,,,
192,Casa Blanca,11222,Light rum,Triple sec,Lime juice,Maraschino liqueur,,,,,,,
193,Casino,17185,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,,
194,Casino Royale,11224,Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,,,
195,Champagne Cocktail,11227,Champagne,Sugar,Bitters,Lemon peel,Cognac,,,,,,
196,Cherry Electric Lemonade,17174,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,
197,Cherry Rum,11239,Light rum,Cherry brandy,Light cream,,,,,,,,
198,Chicago Fizz,11242,Light rum,Port,Lemon,Powdered sugar,Egg white,Carbonated water,,,,,
199,Chocolate Black Russian,11243,Kahlua,Vodka,Chocolate ice-cream,,,,,,,,
200,Chocolate Milk,13328,Chocolate liqueur,Milk,Amaretto,,,,,,,,
201,Citrus Coke,17135,Bacardi Limon,Coca-Cola,,,,,,,,,
202,City Slicker,11251,Brandy,Triple sec,Lemon juice,,,,,,,,
203,Classic Old-Fashioned,11145,Bitters,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,,,
204,Clove Cocktail,11255,Sweet Vermouth,Sloe gin,Wine,,,,,,,,
205,Clover Club,17186,Gin,Grenadine,Lemon,Egg white,,,,,,,
206,Coffee Liqueur,12798,Coffee,Vanilla extract,Sugar,Vodka,Water,,,,,,
207,Coffee-Vodka,12800,Water,Sugar,Coffee,Vanilla,Vodka,Caramel coloring,,,,,
208,Corn n Oil,17830,Lime,Falernum,Angostura Bitters,Añejo rum,blackstrap rum,,,,,,
209,Corpse Reviver #2,17250,Gin,Triple Sec,Lillet Blanc,Lemon Juice,Absinthe,,,,,,
210,Cosmopolitan,17196,Absolut Citron,Lime juice,Cointreau,Cranberry juice,,,,,,,
211,Cosmopolitan Martini,14133,Cointreau,Vodka,Lime,Cranberry juice,,,,,,,
212,Cranberry Cordial,12802,Cranberries,Sugar,Light rum,,,,,,,,
213,Cream Soda,14608,Spiced rum,Ginger ale,,,,,,,,,
214,Creme de Menthe,12808,Sugar,Water,Grain alcohol,Peppermint extract,Food coloring,,,,,,
215,Cuba Libra,13751,Dark rum,Lime,Coca-Cola,Ice,,,,,,,
216,Cuba Libre,11288,Light rum,Lime,Coca-Cola,,,,,,,,
217,Daiquiri,11006,Light rum,Lime,Powdered sugar,,,,,,,,
218,Damned if you do,13194,Whiskey,Hot Damn,,,,,,,,,
219,Danbooka,15409,Coffee,Everclear,,,,,,,,,
220,Dark and Stormy,17211,Dark Rum,Ginger Beer,,,,,,,,,
221,Dark Caipirinha,17177,demerara Sugar,Lime,Cachaca,,,,,,,,
222,Darkwood Sling,14482,Cherry Heering,Soda water,Orange juice,Ice,,,,,,,
223,Death in the Afternoon,178334,Absinthe,Champagne,,,,,,,,,
224,Derby,17187,gin,Peach Bitters,Mint,,,,,,,,
225,Diesel,13128,Lager,Cider,Blackcurrant cordial,,,,,,,,
226,Dirty Martini,17181,Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,
227,Dirty Nipple,14466,Kahlua,Sambuca,Baileys irish cream,,,,,,,,
228,Downshift,16991,Fruit punch,Sprite,Tequila,151 proof rum,,,,,,,
229,Dragonfly,11320,Gin,Ginger ale,Lime,,,,,,,,
230,Dry Martini,11005,Gin,Dry Vermouth,Olive,,,,,,,,
231,Dry Rob Roy,11324,Scotch,Dry Vermouth,Lemon peel,,,,,,,,
232,Dubonnet Cocktail,11326,Dubonnet Rouge,Gin,Bitters,Lemon peel,,,,,,,
233,Duchamp's Punch,17182,Pisco,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender,,,,
234,Empellón Cocina's Fat-Washed Mezcal,17246,Mezcal,Chocolate liqueur,Coffee liqueur,,,,,,,,
235,English Highball,11338,Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,,,
236,English Rose Cocktail,11339,Apricot brandy,Gin,Dry Vermouth,Grenadine,Lemon juice,Cherry,,,,,
237,Espresso Martini,17212,Vodka,Kahlua,Sugar syrup,,,,,,,,
238,Espresso Rumtini,178309,Rum,Vanilla syrup,Espresso,Coffee,,,,,,,
239,Fahrenheit 5000,13070,Firewater,Absolut Peppar,Tabasco sauce,,,,,,,,
240,Flaming Dr. Pepper,13202,Amaretto,Vodka,151 proof rum,Dr. Pepper,Beer,,,,,,
241,Flaming Lamborghini,16485,Kahlua,Sambuca,Blue Curacao,Baileys irish cream,,,,,,,
242,Flander's Flake-Out,13675,Sambuca,Sarsaparilla,,,,,,,,,
243,Flying Dutchman,11368,Gin,Triple sec,,,,,,,,,
244,Flying Scotchman,11369,Scotch,Sweet Vermouth,Bitters,Sugar syrup,,,,,,,
245,Foxy Lady,11375,Amaretto,Creme de Cacao,Light cream,,,,,,,,
246,Freddy Kruger,14688,Jägermeister,Sambuca,Vodka,,,,,,,,
247,French 75,17197,Gin,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,,,
248,French Connection,17198,Cognac,Amaretto,,,,,,,,,
249,French Martini,17213,Vodka,Raspberry Liqueur,pineapple juice,,,,,,,,
250,French Negroni,17248,Gin,Lillet,Sweet Vermouth,Orange Peel,,,,,,,
251,Frisco Sour,11382,Blended whiskey,Benedictine,Lemon,Lime,Lemon,Lime,,,,,
252,Frozen Daiquiri,11387,Light rum,Triple sec,Lime juice,Sugar,Cherry,Ice,,,,,
253,Frozen Mint Daiquiri,11390,Light rum,Lime juice,Mint,Sugar,,,,,,,
254,Frozen Pineapple Daiquiri,11391,Light rum,Pineapple,Lime juice,Sugar,,,,,,,
255,Funk and Soul,178328,Rum,Apricot Nectar,Pomegranate juice,lemon,Soda Water,,,,,,
256,Fuzzy Asshole,15743,Coffee,Peach schnapps,,,,,,,,,
257,Gagliardo,12758,Peach Vodka,Lemon juice,Galliano,Sirup of roses,,,,,,,
258,Gentleman's Club,11396,Gin,Brandy,Sweet Vermouth,Club soda,,,,,,,
259,Gideon's Green Dinosaur,17002,Dark rum,Vodka,Triple sec,Tequila,Melon liqueur,Mountain Dew,,,,,
260,Gimlet,17255,Gin,Lime Juice,Sugar Syrup,Lime,,,,,,,
261,Gin And Tonic,11403,Gin,Tonic water,Lime,,,,,,,,
262,Gin Basil Smash,178314,Gin,Lemon Juice,Sugar Syrup,Basil,,,,,,,
